NAN	538	4925	2333	550	585	391	564	525	NAN	
NAN	1043	4884	2527	376	1199	249	546	810	NAN	
NAN	2055	4809	3042	294	2291	141	495	1424	NAN	
NAN	4175	5167	4394	234	4359	87	475	2491	NAN	
NAN	6870	6231	6039	181	7286	59	468	4148	NAN	
NAN	10318	7460	8576	154	10885	30	353	6069	NAN	
NAN	13226	9107	10469	169	14004	38	295	7754	NAN	
NAN	14937	10017	11403	178	15154	42	235	8846	NAN	
NAN	14432	10055	11136	258	15128	50	165	8903	NAN	
NAN	12997	9224	10102	420	13584	38	146	8285	NAN	
NAN	10591	7580	8724	794	10948	34	127	7247	NAN	
NAN	7938	5910	7300	1472	8608	37	121	6365	NAN	
NAN	5890	4299	6042	2482	6240	34	135	6199	NAN	
NAN	4092	2792	5423	3567	4227	24	111	6382	NAN	
NAN	3220	1905	5005	4553	2923	25	105	7015	NAN	
NAN	2673	1204	4935	4977	2367	31	100	7161	NAN	
NAN	2581	914	4623	4927	2113	23	72	6741	NAN	
NAN	2623	987	4246	4430	2234	28	81	6156	NAN	
NAN	2698	992	3758	3463	2269	27	65	5278	NAN	
NAN	2541	1056	3115	2589	2222	26	52	4338	NAN	
NAN	2277	904	2437	1779	1992	30	29	3242	NAN	
NAN	1790	738	1717	1087	1720	25	30	2293	NAN	
NAN	1366	581	1238	670	1306	39	39	1523	NAN	
NAN	972	410	855	454	905	42	28	980	NAN	
NAN	630	317	592	381	588	66	49	703	NAN	
NAN	396	206	417	499	325	53	61	589	NAN	
NAN	249	103	390	574	187	67	69	515	NAN	
NAN	170	73	317	682	136	85	85	557	NAN	
NAN	139	49	328	731	100	72	101	503	NAN	
NAN	101	55	269	641	66	109	79	421	NAN	
NAN	91	74	224	543	67	97	96	365	NAN	
NAN	79	51	173	426	37	103	91	300	NAN	
NAN	60	46	124	336	59	83	89	203	NAN	
NAN	50	49	85	239	41	88	84	131	NAN	
NAN	54	44	75	159	50	81	87	108	NAN	
NAN	34	20	47	119	39	63	53	67	NAN	
NAN	38	29	51	78	29	59	38	46	NAN	
NAN	28	22	38	51	20	47	38	55	NAN	
NAN	29	27	39	41	29	48	32	41	NAN	
NAN	32	29	32	51	32	50	31	63	NAN	
NAN	27	18	32	50	38	50	28	52	NAN	
NAN	30	20	31	53	27	27	33	62	NAN	
NAN	23	13	36	41	30	37	17	37	NAN	
NAN	40	15	30	45	35	29	36	49	NAN	
NAN	32	32	25	37	21	26	18	43	NAN	
NAN	24	18	27	30	36	24	20	41	NAN	
NAN	21	17	30	25	28	19	22	27	NAN	
NAN	26	28	37	24	35	36	27	20	NAN	
NAN	32	22	27	39	25	31	34	24	NAN	
NAN	27	29	25	27	23	21	23	25	NAN	
NAN	27	26	38	24	27	26	33	24	NAN	
NAN	31	33	30	25	29	35	33	35	NAN	
NAN	24	34	35	34	29	24	24	24	NAN	
NAN	21	37	37	40	35	19	24	29	NAN	
NAN	19	54	29	55	24	28	34	27	NAN	
NAN	26	44	40	53	19	12	38	23	NAN	
NAN	34	45	39	45	30	24	19	31	NAN	
NAN	29	52	33	55	29	24	26	18	NAN	
NAN	27	63	60	75	44	20	19	24	NAN	
NAN	48	81	48	77	57	24	20	39	NAN	
NAN	68	82	65	79	60	15	21	46	NAN	
NAN	69	72	72	70	77	22	21	46	NAN	
NAN	100	80	87	71	95	17	20	58	NAN	
NAN	99	91	87	62	117	13	20	53	NAN	
NAN	93	75	98	53	128	23	14	54	NAN	
NAN	127	72	92	50	136	33	21	68	NAN	
NAN	117	83	104	57	99	18	17	89	NAN	
NAN	99	68	108	38	115	26	16	93	NAN	
NAN	108	67	111	43	114	15	15	104	NAN	
NAN	89	59	95	39	95	20	15	104	NAN	
NAN	79	56	76	35	95	21	18	84	NAN	
NAN	87	57	95	34	85	18	10	82	NAN	
NAN	63	41	78	41	72	22	14	83	NAN	
NAN	77	45	80	29	84	14	10	75	NAN	
NAN	65	32	81	41	65	14	18	86	NAN	
NAN	60	33	59	29	57	8	11	64	NAN	
NAN	78	33	60	26	52	8	10	66	NAN	
NAN	57	31	50	18	46	10	12	71	NAN	
NAN	51	28	59	18	44	6	12	63	NAN	
NAN	55	25	54	28	45	9	16	64	NAN	
NAN	29	29	38	24	35	11	20	51	NAN	
NAN	34	11	30	23	41	2	11	62	NAN	
NAN	22	25	34	22	27	3	25	40	NAN	
NAN	24	26	35	25	32	2	14	26	NAN	
NAN	26	27	29	18	29	9	12	35	NAN	
